timestamp,isConnected,type
1557279072068,True,WIFI
1557279072559,False,MOBILE
1557279092545,False,MOBILE
1557279092563,False,WIFI
1557279105221,True,WIFI
1557279105557,False,MOBILE
1557279135627,False,MOBILE
1557279135645,False,WIFI
1557279194679,True,WIFI
1557279195302,False,MOBILE
1557279376995,False,MOBILE
1557279377056,False,WIFI
1557281777644,True,WIFI
1557281778293,False,MOBILE
1557282011569,False,MOBILE
1557282011583,False,WIFI
1557282121408,True,WIFI
1557282121878,False,MOBILE
1557282125411,False,MOBILE
1557282125442,False,WIFI
1557287200102,True,WIFI
1557287201411,False,MOBILE
1557288474432,False,MOBILE
1557288474469,False,WIFI
1557297908067,True,WIFI
1557297909341,False,MOBILE
1557298413015,False,MOBILE
1557298413037,False,WIFI
1557298904698,True,WIFI
1557298905291,False,MOBILE
1557299654875,False,MOBILE
1557299654910,False,WIFI
1557299801823,True,WIFI
1557299802573,False,MOBILE
1557299885986,False,MOBILE
1557299885993,False,WIFI
1557300859620,True,WIFI
1557300860148,False,MOBILE
1557301004757,False,MOBILE
1557301004786,False,WIFI
1557301265193,True,WIFI
1557301265628,False,MOBILE
1557310434560,False,MOBILE
1557310434616,False,WIFI
1557314559587,True,WIFI
1557314560189,False,MOBILE
1557314685480,False,MOBILE
1557314685513,False,WIFI
1557314738202,True,WIFI
1557314739592,False,MOBILE
1557315250155,False,MOBILE
1557315250202,False,WIFI
1557317094567,True,WIFI
1557317095084,False,MOBILE
1557317128528,False,MOBILE
1557317128562,False,WIFI
1557317187098,True,WIFI
1557317187666,False,MOBILE
1557317214744,False,MOBILE
1557317214779,False,WIFI
1557317284114,True,WIFI
1557317284635,False,MOBILE
1557317540183,False,MOBILE
1557317540196,False,WIFI
1557323649982,True,WIFI
1557323651238,False,MOBILE
1557333057037,False,MOBILE
1557333057080,False,WIFI
1557343149519,False,WIFI
1557343681430,False,WIFI
