timestamp,isConnected,type
1557633058851,True,WIFI
1557633059376,False,MOBILE
1557633432340,False,MOBILE
1557633432357,False,WIFI
1557633449789,True,WIFI
1557633450959,False,MOBILE
1557645197668,False,MOBILE
1557645197689,False,WIFI
1557649791587,True,WIFI
1557649792175,False,MOBILE
1557650258265,False,MOBILE
1557650258284,False,WIFI
1557655420513,True,WIFI
1557655420946,False,MOBILE
1557658769397,False,MOBILE
1557658769434,False,WIFI
1557658854297,True,WIFI
1557658855426,False,MOBILE
1557665469134,False,MOBILE
1557665469173,False,WIFI
1557665602818,True,WIFI
1557665603382,False,MOBILE
1557665633587,False,MOBILE
1557665633599,False,WIFI
1557665666382,True,WIFI
1557665666789,False,MOBILE
1557667093155,False,MOBILE
1557667093182,False,WIFI
1557667177034,True,WIFI
1557667177490,False,MOBILE
1557667221715,False,MOBILE
1557667221734,False,WIFI
1557667252203,True,WIFI
1557667252718,False,MOBILE
1557667257232,False,MOBILE
1557667257270,False,WIFI
1557667349246,True,WIFI
1557667349819,False,MOBILE
1557667439584,False,MOBILE
1557667439612,False,WIFI
1557671783335,True,WIFI
1557671783958,False,MOBILE
1557671795429,False,MOBILE
1557671795466,False,WIFI
1557671808705,True,WIFI
1557671809216,False,MOBILE
1557671824567,False,MOBILE
1557671824633,False,WIFI
1557671851837,True,WIFI
1557671852372,False,MOBILE
1557671862347,False,MOBILE
1557671862363,False,WIFI
1557672058063,True,WIFI
1557672058582,False,MOBILE
1557672189150,False,MOBILE
1557672189204,False,WIFI
1557673495054,True,WIFI
1557673495619,False,MOBILE
1557673519688,False,MOBILE
1557673519699,False,WIFI
1557673527634,True,WIFI
1557673528169,False,MOBILE
1557673573536,False,MOBILE
1557673573553,False,WIFI
1557702834924,True,WIFI
1557702835400,False,MOBILE
1557703209311,False,MOBILE
1557703209336,False,WIFI
1557703420043,True,WIFI
1557703420730,False,MOBILE
1557703547945,False,MOBILE
1557703548002,False,WIFI
1557703685748,True,WIFI
1557703686261,False,MOBILE
