timestamp,messageBox,isPinned,timesContacted,number,contact,isStarred,messageClass
1557628997000,INBOX,False,0,1544$9dfcd5e558dfa04aaf37f137a1d9d3e5,UNDEFINED,False,MMS
1557629776000,INBOX,False,0,0107$bf0e313de42a6c46bde3caf4afcaeaf1,OTHER,False,SMS
1557634211000,INBOX,False,0,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557647807000,INBOX,False,2,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557650140000,INBOX,False,2,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557652492000,INBOX,False,0,1544$9dfcd5e558dfa04aaf37f137a1d9d3e5,MOBILE,False,MMS
1557628997000,INBOX,False,0,1544$9dfcd5e558dfa04aaf37f137a1d9d3e5,UNDEFINED,False,MMS
1557629776000,INBOX,False,0,0107$bf0e313de42a6c46bde3caf4afcaeaf1,OTHER,False,SMS
1557634211000,INBOX,False,0,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557647807000,INBOX,False,2,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557650140000,INBOX,False,2,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557652492000,INBOX,False,0,1544$9dfcd5e558dfa04aaf37f137a1d9d3e5,MOBILE,False,MMS
