timestamp,messageBox,isPinned,timesContacted,number,contact,isStarred,messageClass
1557797885000,INBOX,False,0,1644$24681928425f5a9133504de568f5f6df,MOBILE,False,MMS
1557797885000,INBOX,False,0,1644$24681928425f5a9133504de568f5f6df,MOBILE,False,MMS
1557802858000,INBOX,False,1,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557805838000,INBOX,False,1,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557815429000,INBOX,False,1,0107$e872721a27ed6bd44bbe8da9d7d10c7b,OTHER,False,SMS
1557823961614,INBOX,False,1,#CMA$4bf90a4bd9e018dbb14e16c875befec5,OTHER,False,SMS
1557833830000,INBOX,False,0,0104$fab8457f6f6fe2575d1ba5205177cbee,MOBILE,False,MMS
1557834827573,SENT,False,1,0104$fab8457f6f6fe2575d1ba5205177cbee,OTHER,False,SMS
1557834959000,INBOX,False,1,0104$fab8457f6f6fe2575d1ba5205177cbee,OTHER,False,SMS
1557836754035,SENT,False,1,0104$fab8457f6f6fe2575d1ba5205177cbee,OTHER,False,SMS
1557837685000,INBOX,False,0,0108$8b960e42df4bd1ae506207fb4d52f4a6,UNDEFINED,False,MMS
1557838470330,SENT,False,1,0108$8b960e42df4bd1ae506207fb4d52f4a6,OTHER,False,SMS
1557842247000,INBOX,False,3,0104$fab8457f6f6fe2575d1ba5205177cbee,OTHER,False,SMS
