timestamp,isPinned,presentation,timesContacted,dataUsage,number,contact,type,duration,isStarred
1557453969820,False,ALLOWED,1,0,0109$491bf9aca27055967bb071f87bec0ea6,MOBILE,OUTGOING,72,False
1557454483040,False,ALLOWED,1,0,0107$8f7b40274cfd08287d23d4b1a81ef8cd,MOBILE,OUTGOING,68,False
1557454767049,False,ALLOWED,1,0,0107$8f7b40274cfd08287d23d4b1a81ef8cd,MOBILE,OUTGOING,0,False
1557455095258,False,ALLOWED,2,0,0107$8f7b40274cfd08287d23d4b1a81ef8cd,MOBILE,INCOMING,128,False
1557479122256,False,ALLOWED,1,0,0102$4eef22bf132fd3b03a5a3af5a2dafaed,MOBILE,OUTGOING,87,False
1557483295484,False,ALLOWED,1,0,0105$b8074562889c269f7e5ecf8fec80c56e,MOBILE,OUTGOING,14,False
1557491560289,False,ALLOWED,1,0,0105$b8074562889c269f7e5ecf8fec80c56e,MOBILE,MISSED,0,False
1557453969820,False,ALLOWED,1,0,0109$491bf9aca27055967bb071f87bec0ea6,MOBILE,OUTGOING,72,False
1557454483040,False,ALLOWED,1,0,0107$8f7b40274cfd08287d23d4b1a81ef8cd,MOBILE,OUTGOING,68,False
1557454767049,False,ALLOWED,1,0,0107$8f7b40274cfd08287d23d4b1a81ef8cd,MOBILE,OUTGOING,0,False
1557455095258,False,ALLOWED,2,0,0107$8f7b40274cfd08287d23d4b1a81ef8cd,MOBILE,INCOMING,128,False
1557479122256,False,ALLOWED,1,0,0102$4eef22bf132fd3b03a5a3af5a2dafaed,MOBILE,OUTGOING,87,False
1557483295484,False,ALLOWED,1,0,0105$b8074562889c269f7e5ecf8fec80c56e,MOBILE,OUTGOING,14,False
1557491560289,False,ALLOWED,1,0,0105$b8074562889c269f7e5ecf8fec80c56e,MOBILE,MISSED,0,False
