timestamp,messageBox,isPinned,timesContacted,number,contact,isStarred,messageClass
1557708581000,INBOX,False,0,0104$fab8457f6f6fe2575d1ba5205177cbee,MOBILE,False,MMS
1557711107000,INBOX,False,0,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557727416000,INBOX,False,0,0104$070dd33ca6bb9f397ef5d50b5ff85a68,UNDEFINED,False,MMS
1557739884000,INBOX,False,0,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557741048000,INBOX,False,0,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557756221000,INBOX,False,0,1661$94f6d7e04a4d452035300f18b984988c,OTHER,False,SMS
1557761468000,INBOX,False,0,1544$6f3ef77ac0e3619e98159e9b6febf557,OTHER,False,SMS
1557761509000,INBOX,False,0,1661$94f6d7e04a4d452035300f18b984988c,UNDEFINED,False,MMS
1557763321000,INBOX,False,0,1670$92977ae4d2ba21425a59afb269c2a14e,OTHER,False,SMS
1557708581000,INBOX,False,0,0104$fab8457f6f6fe2575d1ba5205177cbee,MOBILE,False,MMS
1557711107000,INBOX,False,0,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557727416000,INBOX,False,0,0104$070dd33ca6bb9f397ef5d50b5ff85a68,UNDEFINED,False,MMS
1557739884000,INBOX,False,0,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557741048000,INBOX,False,0,1588$b73ce398c39f506af761d2277d853a92,OTHER,False,SMS
1557756221000,INBOX,False,0,1661$94f6d7e04a4d452035300f18b984988c,OTHER,False,SMS
1557761468000,INBOX,False,0,1544$6f3ef77ac0e3619e98159e9b6febf557,OTHER,False,SMS
1557761509000,INBOX,False,0,1661$94f6d7e04a4d452035300f18b984988c,UNDEFINED,False,MMS
1557763321000,INBOX,False,0,1670$92977ae4d2ba21425a59afb269c2a14e,OTHER,False,SMS
