timestamp,isConnected,type
1557728284454,False,MOBILE
1557728284810,False,WIFI
1557728285209,True,WIFI
1557728285953,False,MOBILE
1557729306602,False,MOBILE
1557729306654,False,WIFI
1557732087644,True,WIFI
1557732088560,False,MOBILE
1557736782945,False,MOBILE
1557736782976,False,WIFI
1557738143673,True,WIFI
1557738144505,False,MOBILE
1557738550780,False,MOBILE
1557738550866,False,WIFI
1557739491274,True,WIFI
1557739492169,False,MOBILE
1557747845623,False,MOBILE
1557747845663,False,WIFI
1557751395006,True,WIFI
1557751395969,False,MOBILE
1557728284454,False,MOBILE
1557728284810,False,WIFI
1557728285209,True,WIFI
1557728285953,False,MOBILE
1557729306602,False,MOBILE
1557729306654,False,WIFI
1557732087644,True,WIFI
1557732088560,False,MOBILE
1557736782945,False,MOBILE
1557736782976,False,WIFI
1557738143673,True,WIFI
1557738144505,False,MOBILE
1557738550780,False,MOBILE
1557738550866,False,WIFI
1557739491274,True,WIFI
1557739492169,False,MOBILE
1557747845623,False,MOBILE
1557747845663,False,WIFI
1557751395006,True,WIFI
1557751395969,False,MOBILE
